dates,text
2015-05-20,yeah that's a lillll weird
2015-05-20,we used to do that all the time
2015-05-20,wcw me
2015-05-20,everything fucking sucks
2015-05-20,fUCK I DONT WANNA GO TO SCHOOL
2015-05-20,so sad
2015-05-20,ruined something that i could look forward to at the end of each day
2015-05-20,brennan is such a faggot   but hes a cute faggot
2015-05-20,bren is the reason why we cant have nice things
2015-05-20,like sick but shit why didnt anyone do that any other day
2015-05-20,idk i wISH I KNEW
2015-05-20,nah im just fucking w yall theyre not too bad i laughed at the drum one the most which is lame but
2015-05-20,still weak tho
2015-05-20,how many girls are gonna be in CMST by the end of the year lmao
2015-05-20,accurate https//tco/DWChmkrK
2015-05-20,i gotchu fam
2015-05-20,you're basically perfect //
2015-05-20,savage
2015-05-20,u aint a blood
2015-05-20,i wish my family didnt hate me
2015-05-20,i miss my dad
2015-05-20,fuck that youre an amazing person
2015-05-20,this is actually about me https//tco/GbSQgdyYFA
2015-05-20,looks like a bit of blood n bunch of mucus that feeling is prolly the blood
2015-05-20,mucus
2015-05-20,im so overwhelmed and stressed and i thought I had someone there for a sec to take it away
2015-05-20,oh my jesus
2015-05-20,how old is she
2015-05-20,come on http//tco/LnKtajKfD
2015-05-20,ha i thought
2015-05-20,i am so sad i wanna just sleep for a year
2015-05-20,i fucking hate liking someone i hate it so much
2015-05-20,im now asexual
2015-05-20,text/dm/call/snapchat/send me a telegram
2015-05-20,https//tco/IVEJbimj
2015-05-20,dont tell em dont tell em
2015-05-19,honestly idk
2015-05-19,
2015-05-19,crawls back under rock
2015-05-19,kinda raging with anger but eh
2015-05-19,dont tell shreya thats the worst thing you can do bye
2015-05-19,hahahahahahah
2015-05-19,love
2015-05-19,ty liv
2015-05-19,lucky
2015-05-19,peep my avi
2015-05-19,thank ya baby
2015-05-19,ikr lmao planned ahead
2015-05-19,its my parents bathroom  yes
2015-05-19,calc
2015-05-19,im so angry and annoyed
2015-05-19,finished that reaction paper so fast
2015-05-19,thats what im doin rn https//tco/MVtleCLry
2015-05-19,Ben Thai vs the world
2015-05-19,ill prolly only do like  but http//tco/MnRjHkkx
2015-05-18,im a big fan so keep doin ur thing  follow me b
2015-05-18,tybg   http//tco/qqzSjLSvK
2015-05-18,yesssss
2015-05-18,i just want  to be famous af
2015-05-18,did u just //
2015-05-18,i dont like it when my friends like who i used to //
2015-05-18,eh ur irrelevant i didnt even know u exist at hamilton but yes rt
2015-05-18,actually you looked pretty scared in the video  https//tco/mPEQhmrM
2015-05-18,ayy
2015-05-18,i like my hair in this pic // http//tco/fMDUqv
2015-05-18,o
2015-05-18,neither
2015-05-18,wot
2015-05-18,subtweet subtweet
2015-05-18,i can watch this forever https//tco/KtgbuJfM
2015-05-18,avi
2015-05-18,save yourself from wrong timing
2015-05-18,i wish people would just tell the person who they like almost immediately
2015-05-17,ikkr
2015-05-17,ur drug is a heartbreakerr
2015-05-17,imy nigga
2015-05-17,http//tco/DeKLSXuS
2015-05-17,whenever
